,栏目,标题,作者,链接
2022-03-05,肺癌,发现肺内“魔”玻璃 千万莫惊慌,李航,https://www.haodf.com/neirong/wenzhang/9388627606.html
2022-03-05,乙肝,怎样才知道乙肝是否严重？,陈青山,https://www.haodf.com/neirong/wenzhang/9388627442.html
2022-03-04,胃癌,胃癌新辅助治疗的作用及适用人群,吴伙,https://www.haodf.com/neirong/wenzhang/9388627182.html
2022-03-04,乳腺癌,乳腺钙化等于乳腺癌吗？,戴绘娟,https://www.haodf.com/neirong/wenzhang/9388626113.html
2022-03-04,高血压,老年人高血压有什么用药原则？,赵明光,https://www.haodf.com/neirong/wenzhang/9388625553.html
2022-03-04,肺癌,治疗肺癌的靶向药导致肝损伤怎么办？,贾钰华,https://www.haodf.com/neirong/wenzhang/9388625523.html
2022-03-04,肺癌,来自肺癌患者“专业家属”的三封信---（二）行动篇,杨雪,https://www.haodf.com/neirong/wenzhang/9388625197.html
2022-03-04,胃癌,胃病出院后的营养指导建议,赵岩,https://www.haodf.com/neirong/wenzhang/9388625155.html
2022-03-04,腰椎间盘突出,腰椎间盘游离了，还能进行保守治疗吗？,廖博,https://www.haodf.com/neirong/wenzhang/9388625147.html
2022-03-04,乳腺癌,如何简单判断p53突变,薛卫成,https://m.haodf.com/neirong/shipin/9388624986.html
2022-03-04,乳腺癌,P53基因是个啥,薛卫成,https://m.haodf.com/neirong/shipin/9388624984.html
2022-03-03,腰椎间盘突出,自我诊断腰椎间盘突出症的快速方法——直腿抬高试验,潘峰,https://www.haodf.com/neirong/wenzhang/9388624850.html
2022-03-03,甲亢,甲亢为什么反反复复？该怎么预防？,任卫东,https://www.haodf.com/neirong/wenzhang/9388624506.html
2022-03-03,腰椎间盘突出,推拿按摩可以治疗腰椎间盘突出吗？可以让突出的椎间盘还纳吗？...,李维新,https://m.haodf.com/neirong/shipin/9388623798.html
2022-03-03,乳腺癌,高危乳腺癌女性如何采取预防措施,赵华栋,https://www.haodf.com/neirong/wenzhang/9388623579.html
2022-03-03,肺癌,刘懿博士说肺癌（三亖八六）肺结节甲胎蛋白偏高，肺癌会这个指...,刘懿,https://www.haodf.com/neirong/wenzhang/9388622945.html
2022-03-03,肺癌,来自肺癌患者“专业家属”的三封信---（一）思想篇,杨雪,https://www.haodf.com/neirong/wenzhang/9388622931.html
2022-03-03,甲亢,哪些甲亢患者不能接种新冠病毒肺炎疫苗？,韩改玲,https://www.haodf.com/neirong/wenzhang/9388622726.html
2022-03-03,肺癌,何为肿瘤的分级和分期以及对预后的影响！,周晓,https://www.haodf.com/neirong/wenzhang/9388622696.html
2022-03-02,肺癌,刘懿博士说肺癌（三亖八五）后背前胸疼五天，看看肺结节有事吗...,刘懿,https://www.haodf.com/neirong/wenzhang/9388622541.html
2022-03-02,肝癌,【科普】做好这6步，让肝硬化患者避免肝癌困扰！,陆朝阳,https://www.haodf.com/neirong/wenzhang/9388622301.html
2022-03-02,胃癌,胃癌好治吗？,方佳峰,https://www.haodf.com/neirong/wenzhang/9388622169.html
2022-03-02,高血压,高血压VS健康饮食模式,吴力,https://www.haodf.com/neirong/wenzhang/9388622080.html
2022-03-02,肺癌,刘懿博士说肺癌（三亖八三）哪怕是早期肺癌，也要问家属能告诉...,刘懿,https://www.haodf.com/neirong/wenzhang/9388621993.html
2022-03-02,高血压,高血压有哪些用药误区？,任卫东,https://www.haodf.com/neirong/wenzhang/9388621986.html
2022-03-02,肺癌,广泛期小细胞肺癌的一线治疗策略是怎样的？,张临友,https://www.haodf.com/neirong/wenzhang/9388621568.html
2022-03-02,肺癌,刘懿博士说肺癌（三亖八二）肺部多发，磨玻璃结节和实性结节共...,刘懿,https://www.haodf.com/neirong/wenzhang/9388621446.html
2022-03-02,肺癌,超过70岁的肺癌患者真的没有必要做手术？（转自中山六院郑医生...,郭旭峰,https://www.haodf.com/neirong/wenzhang/9388621266.html
2022-03-02,肺癌,要想预防肺癌，光靠戒烟是不够的，你还需要这个（转自中山六院...,郭旭峰,https://www.haodf.com/neirong/wenzhang/9388621264.html
2022-03-02,肺癌,基因检测报告上的化疗疗效预测，到底准不准？（转自中山六院郑...,郭旭峰,https://www.haodf.com/neirong/wenzhang/9388621262.html
2022-03-02,肺癌,我国肺癌发病率仍在上升，肺癌到底该如何治疗？,张临友,https://www.haodf.com/neirong/wenzhang/9388621174.html
2022-03-01,肺癌,肺腺癌术后病理五大类，预后一样吗？,王永忠,https://www.haodf.com/neirong/wenzhang/9388619934.html
2022-03-01,肺癌,肺癌预后都一样吗？靠什么来判断？,王永忠,https://www.haodf.com/neirong/wenzhang/9388619906.html
2022-02-28,腰椎间盘突出,一套完整的腰椎保健操，防治腰椎间盘突出症,包敏敏,https://www.haodf.com/neirong/wenzhang/9388609375.html
2022-02-28,肺癌,刘懿博士说肺癌（三亖七亖）咳嗽五个月，四十岁女士诊断为低分...,刘懿,https://www.haodf.com/neirong/wenzhang/9388609278.html
2022-02-28,乳腺癌,乳腺真空辅助微创旋切活检术后注意事项,林国鸿,https://www.haodf.com/neirong/wenzhang/9388608519.html
2022-02-28,肺癌,度伐利尤单抗治疗可延长不可切除肺癌生存期,张临友,https://www.haodf.com/neirong/wenzhang/9388608361.html
2022-02-27,高血压,高血压为何难降—再不限“钠”就晚了,周莉,https://www.haodf.com/neirong/wenzhang/9388608205.html
2022-02-27,乳腺癌,乳腺癌骨转移发生挺常见的，重要的两个问题！,沈宇辉,https://m.haodf.com/neirong/shipin/9388607976.html
2022-02-27,肺癌,刘懿博士说肺癌（三亖七〇）住在我们科室对面做手术，起一卦求...,刘懿,https://www.haodf.com/neirong/wenzhang/9388607649.html
2022-02-27,肝癌,吉大一院成功完成胸腹联合肝癌切除+下腔静脉癌栓切取术,王广义,https://www.haodf.com/neirong/wenzhang/9388607597.html
2022-02-27,子宫肌瘤,子宫肌瘤？心中有数勿担心,聂姬婵,https://www.haodf.com/neirong/wenzhang/9388607560.html
2022-02-27,肺癌,刘懿博士说肺癌（三亖六九）胸部增强CT和血痰便检查能排除肺癌...,刘懿,https://www.haodf.com/neirong/wenzhang/9388607465.html
2022-02-27,肺癌,牵涉到几乎大部分重要脏器！盘点可能引起癌症的7种病毒，1种细...,胡洋,https://www.haodf.com/neirong/wenzhang/9388607308.html
2022-02-27,肺癌,这种治肺癌的好药也可能是致命的毒药，重点是预防严重心肺副反...,胡洋,https://www.haodf.com/neirong/wenzhang/9388607294.html
2022-02-27,高血压,【一问一答】轻度高血压吃上药以后能不能停药？,宋雷,https://www.haodf.com/neirong/wenzhang/9388607288.html
2022-02-27,肺癌,能够追着病灶放射的放疗方法——射波刀，肺癌也可以用，紧咬不...,胡洋,https://www.haodf.com/neirong/wenzhang/9388607275.html
2022-02-27,肺癌,刘懿博士说肺癌（三亖六八）互联网医院复查肺结节，约到转天的...,刘懿,https://www.haodf.com/neirong/wenzhang/9388607256.html
2022-02-27,腰椎间盘突出,贴膏药可以把突出的间盘还纳吗？腰椎间盘治疗误区之贴膏药,李维新,https://m.haodf.com/neirong/shipin/9388607151.html
2022-02-26,肝癌,在身患肝癌的初期应该如何度过,王广义,https://www.haodf.com/neirong/wenzhang/9388606382.html
2022-02-26,胃癌,老年胃肠道肿瘤病人的手术问题,韩俊毅,https://www.haodf.com/neirong/wenzhang/9388606368.html
2022-02-26,食道癌,坏习惯会增加患癌风险,李浩军,https://www.haodf.com/neirong/wenzhang/9388605946.html
2022-02-25,乳腺癌,如何治愈HER-2阳性早期乳腺癌？,李晓平,https://www.haodf.com/neirong/wenzhang/9388605847.html
2022-02-25,甲亢,甲亢和桥本甲状腺炎易混淆，如何才能正确区分？,王秀英,https://www.haodf.com/neirong/wenzhang/9388605057.html
2022-02-25,肺癌,肺癌何时不做手术？,王永忠,https://www.haodf.com/neirong/wenzhang/9388604935.html
2022-02-25,肺癌,肺癌骨转移如何诊断和治疗？,逄旭光,https://www.haodf.com/neirong/wenzhang/9388604673.html
2022-02-25,胃癌,胃癌术后吃什么好？,刘晓文,https://www.haodf.com/neirong/wenzhang/9388604666.html
2022-02-25,肺癌,晚期肺癌是否还可以手术治疗？,逄旭光,https://www.haodf.com/neirong/wenzhang/9388604665.html
2022-02-25,骨折,为什么说“髋部骨折”是“人生最后一次骨折”？,欧阳元明,https://www.haodf.com/neirong/wenzhang/9388604594.html
2022-02-25,肺癌,免疫治疗相关血液毒性反应和分类处理原则,张临友,https://www.haodf.com/neirong/wenzhang/9388604506.html
2022-02-24,肺癌,奥希替尼耐药后该怎么办,贾涛,https://www.haodf.com/neirong/wenzhang/9388604420.html
2022-02-24,肺癌,刘懿博士说肺癌（三亖五五）肺癌化疗肚子胀，不消化，不往下走...,刘懿,https://www.haodf.com/neirong/wenzhang/9388603941.html
2022-02-24,肺癌,刘懿博士说肺癌（三亖五亖）吃着甲地孕酮分散片，对肺结节有影...,刘懿,https://www.haodf.com/neirong/wenzhang/9388603877.html
2022-02-24,胆结石,长期不吃早餐，对身体的损害有多大？,车旭,https://www.haodf.com/neirong/wenzhang/9388603607.html
2022-02-24,腰椎间盘突出,腰间盘突出轻度突出怎么医治,张西峰,https://m.haodf.com/neirong/shipin/9388603347.html
2022-02-24,肺癌,刘懿博士说肺癌（三亖五一）EGFR用第三代药新辅助治疗肺癌项目...,刘懿,https://www.haodf.com/neirong/wenzhang/9388603107.html
2022-02-24,颈椎病,片子问题多，医生却说不严重？颈腰椎疾病患者的病情判定看什么...,李维新,https://www.haodf.com/neirong/wenzhang/9388603005.html
2022-02-23,腰椎间盘突出,人到中年遭遇腰椎间盘突出，7毫米孔镜手术高效解除！,王作伟,https://www.haodf.com/neirong/wenzhang/9388602634.html
2022-02-23,肺癌,刘懿博士说肺癌（三亖亖八）九个月不变的一厘米实性肺结节会是...,刘懿,https://www.haodf.com/neirong/wenzhang/9388602163.html
2022-02-23,肺癌,刘懿博士说肺癌（三亖亖七）小的肺结节这样看，是看不清楚细节...,刘懿,https://www.haodf.com/neirong/wenzhang/9388601909.html
2022-02-23,肺癌,肺癌如何选择免疫治疗药物？,周晓,https://www.haodf.com/neirong/wenzhang/9388601412.html
2022-02-22,肺癌,刘懿博士说肺癌（三亖亖五）给肺结节会诊，好奇的问患者名字,刘懿,https://www.haodf.com/neirong/wenzhang/9388601123.html
2022-02-22,肺癌,刘懿博士说肺癌（三亖亖亖）八十岁发现了肺结节，还做不做手术...,刘懿,https://www.haodf.com/neirong/wenzhang/9388600972.html
2022-02-22,胃癌,胃癌为什么需要先化疗再手术？什么是新辅助化疗,朱志,https://www.haodf.com/neirong/wenzhang/9388600961.html
2022-02-22,腰椎间盘突出,得了腰椎间盘突出还能运动吗？,王作伟,https://www.haodf.com/neirong/wenzhang/9388600663.html
2022-02-22,肝癌,肝癌是真的防不胜防？这些早期信号要重视,车旭,https://www.haodf.com/neirong/wenzhang/9388600615.html
2022-02-22,腰椎间盘突出,＃腰椎间盘突出症 ＃颈椎病 关于治疗患者最担心的问题！,廖博,https://m.haodf.com/neirong/shipin/9388600609.html
2022-02-22,肺癌,肺癌有哪些类型呢？,蔡琳琳,https://m.haodf.com/neirong/shipin/9388600479.html
2022-02-22,胃癌,一例Her-2阳性局部晚期胃癌,蒲汪旸,https://www.haodf.com/neirong/wenzhang/9388600471.html
2022-02-22,肺癌,刘懿博士说肺癌（三亖亖二）肺磨玻璃结节是肺癌对上靶向药的多...,刘懿,https://www.haodf.com/neirong/wenzhang/9388600238.html
2022-02-22,腰椎间盘突出,椎间盘退变、椎间盘膨出、椎间盘突出、椎管狭窄、腰椎滑脱都是...,袁宏杰,https://www.haodf.com/neirong/wenzhang/9388600125.html
2022-02-21,高血压,偶尔几次血压高 ，不代表就得了高血压,张铭,https://www.haodf.com/neirong/wenzhang/9388599381.html
2022-02-21,高血压,测血压应该坐着测还是躺着测？,付朝杰,https://www.haodf.com/neirong/wenzhang/9388599264.html
2022-02-21,肺癌,确诊肺癌伴有肝转移，化疗+免疫治疗反应太严重，做不下去了怎么...,蒋连勇,https://www.haodf.com/neirong/wenzhang/9388598882.html
2022-02-21,肺癌,胸部DR和CT的区别,陈京宇,https://www.haodf.com/neirong/wenzhang/9388598856.html
2022-02-21,肺癌,老年人肺癌手术应该注意什么？,王永忠,https://www.haodf.com/neirong/wenzhang/9388598809.html
2022-02-21,胃癌,血清胃泌素的增高驱动胃癌的发生,赵岩,https://www.haodf.com/neirong/wenzhang/9388598467.html
2022-02-21,肺癌,如何提高免疫力对抗肿瘤？,张临友,https://www.haodf.com/neirong/wenzhang/9388598409.html
2022-02-20,乳腺癌,60%癌症可预防！权威机构发布超全防癌建议：美国10条＆中国14条...,吴高松,https://www.haodf.com/neirong/wenzhang/9388598371.html
2022-02-20,肝癌,肝癌术后该如何复查，你做对了？,张永法,https://www.haodf.com/neirong/wenzhang/9388598339.html
2022-02-20,肺癌,有可能转变成癌的病变叫癌前病变，从头到脚的癌前病变都列在这...,胡洋,https://www.haodf.com/neirong/wenzhang/9388597439.html
2022-02-20,肺癌,肺癌病人用什么药物提高免疫力？健康的生活习惯最重要,胡洋,https://www.haodf.com/neirong/wenzhang/9388597436.html
2022-02-20,肺癌,肺癌晚期，有活过10年的吗？我先举三个例子为敬，你们评论区补...,胡洋,https://www.haodf.com/neirong/wenzhang/9388597429.html
2022-02-20,肺癌,王阿姨诊断肺癌基因配型配上靶向药，一个问题让她纠结，要化疗...,胡洋,https://www.haodf.com/neirong/wenzhang/9388597417.html
2022-02-20,肺癌,肺癌四项是什么？很多人不明白这四样检查的意义，医生告诉你,胡洋,https://www.haodf.com/neirong/wenzhang/9388597412.html
2022-02-20,肺癌,刘懿博士说肺癌（三亖三一）肺结节术后预计明天出院，今晚能走...,刘懿,https://www.haodf.com/neirong/wenzhang/9388597282.html
2022-02-20,肺癌,晚期肺癌除了放化疗，还有别的治疗方法吗？氩氦刀冷冻消融可以...,周云芝,https://m.haodf.com/neirong/shipin/9388596703.html
2022-02-19,乳腺癌,【科普】长期口服避孕药是否增加乳腺癌发病风险？,吕鹏威,https://www.haodf.com/neirong/wenzhang/9388596511.html
2022-02-19,肺癌,常吃水果 好处多多,闫天生,https://www.haodf.com/neirong/wenzhang/9388596065.html
2022-02-19,肺癌,防癌、抗癌的6种食物,闫天生,https://www.haodf.com/neirong/wenzhang/9388596030.html
2022-02-19,肺癌,关于肺癌的六大重点知识！,张临友,https://www.haodf.com/neirong/wenzhang/9388595819.html
2022-02-19,肺癌,肺癌术后饮食误区1：煲汤，只喝汤不吃肉,周谦君,https://www.haodf.com/neirong/wenzhang/9388595789.html
2022-02-19,肺癌,达芬奇,周谦君,https://www.haodf.com/neirong/wenzhang/9388595778.html
2022-02-19,肺部结节,当肺结节遇上CTC,周谦君,https://www.haodf.com/neirong/wenzhang/9388595770.html
2022-02-19,肝癌,为什么有的肝癌患者能活十几年有的活几个月,王健莉,https://m.haodf.com/neirong/shipin/9388595590.html
2022-02-19,肺癌,肿瘤标志物全套要800块，如果只检查肺癌，可以选择肺癌四项,胡洋,https://www.haodf.com/neirong/wenzhang/9388595506.html
2022-02-19,肺癌,死亡最快的肺癌是哪种？肺肉瘤样癌，比小细胞肺癌还恶的肺癌,胡洋,https://www.haodf.com/neirong/wenzhang/9388595500.html
2022-02-19,肺癌,不要头痛医头，头部出现症状除考虑头部疾病，也有可能是肺癌信...,胡洋,https://www.haodf.com/neirong/wenzhang/9388595483.html
2022-02-18,骨折,骨折往事,潘俊博,https://www.haodf.com/neirong/wenzhang/9388595403.html
2022-02-18,肺癌,靶向、免疫治疗如何在非小细胞肺癌中应用？,张临友,https://www.haodf.com/neirong/wenzhang/9388595290.html
2022-02-18,肺癌,癌症也有地区差异？快来看看你的地区什么癌症发病率高！,张临友,https://www.haodf.com/neirong/wenzhang/9388595269.html
2022-02-18,肺癌,刘懿博士说肺癌（三亖二五）肺癌术后BRAF突变，打算吃靶向药行...,刘懿,https://www.haodf.com/neirong/wenzhang/9388595236.html
2022-02-18,高血压,如何看待降压药的不良反应？,赵明光,https://www.haodf.com/neirong/wenzhang/9388595125.html
2022-02-18,肺癌,为什么医生要让肺癌患者做穿刺活检？,闾夏轶,https://m.haodf.com/neirong/shipin/9388594798.html
2022-02-18,甲状腺瘤,腋窝开个小切口 甲状腺肿瘤“切无痕”,钟外生,https://www.haodf.com/neirong/wenzhang/9388594282.html
2022-02-18,肺癌,肺癌，ROS1基因重排意味着什么？,逄旭光,https://www.haodf.com/neirong/wenzhang/9388594277.html
2022-02-18,乳腺癌,乳腺癌化疗常见的不良反应及处理,卢文亮,https://www.haodf.com/neirong/wenzhang/9388594148.html
2022-02-18,肝癌,肝癌一线治疗新突破！HIMALAYA III期研究成功，显著改善肝癌患...,章爱斌,https://www.haodf.com/neirong/wenzhang/9388594084.html
2022-02-18,乳腺癌,乳腺癌怎么知道是不是晚期？晚期乳腺癌如何治疗？,陈占红,https://m.haodf.com/neirong/shipin/9388594017.html
2022-02-18,乳腺癌,乳腺癌怎么知道是不是晚期？晚期乳腺癌如何治疗？,陈占红,https://m.haodf.com/neirong/shipin/9388594014.html
2022-02-18,胃癌,胃癌、肠癌患者如何进行精准诊断和精准治疗？,陈小兵,https://m.haodf.com/neirong/shipin/9388593871.html
2022-02-18,胃癌,癌症究竟能否预防？如何科学预防癌症？,陈小兵,https://m.haodf.com/neirong/shipin/9388593869.html
2022-02-17,胃癌,胃癌的规范化治疗有哪些建议？,陈小兵,https://www.haodf.com/neirong/wenzhang/9388593810.html
2022-02-17,胃癌,胃癌筛查与早期诊断方法有哪些？,陈小兵,https://www.haodf.com/neirong/wenzhang/9388593806.html
2022-02-17,肺癌,刘懿博士说肺癌（三亖二〇）肺结节女孩夜里去医院拍片子发给我...,刘懿,https://www.haodf.com/neirong/wenzhang/9388593699.html
2022-02-17,肺癌,刘懿博士说肺癌（三亖一九）晚期肺癌EGFR21突变，吃三代药算盲...,刘懿,https://www.haodf.com/neirong/wenzhang/9388593500.html
2022-02-17,肺癌,漏服口服靶向药物怎么办？,杨海华,https://www.haodf.com/neirong/wenzhang/9388593437.html
2022-02-17,肺癌,口服肺癌靶向药物应避免食用的水果,杨海华,https://www.haodf.com/neirong/wenzhang/9388593435.html
2022-02-17,乳腺癌,乳腺癌治疗时会出现的哪些副作用，如何应对？,赵华栋,https://www.haodf.com/neirong/wenzhang/9388593329.html
2022-02-17,乳腺癌,乳腺癌怎么知道是不是晚期？晚期乳腺癌如何治疗？,陈占红,https://www.haodf.com/neirong/wenzhang/9388593163.html
2022-02-17,腰椎间盘突出,腰椎间盘突出微创为何会复发？,郑帅,https://m.haodf.com/neirong/shipin/9388593053.html
2022-02-17,肺癌,刘懿博士说肺癌（三亖一七）大家觉得这两家医院肺结节CT报告哪...,刘懿,https://www.haodf.com/neirong/wenzhang/9388592786.html
2022-02-17,高血压,高血压降压降压目标,马永贞,https://www.haodf.com/neirong/wenzhang/9388592702.html
2022-02-17,腰椎间盘突出,电子内镜下微创治疗腰椎间盘突出症（Mis-Mlif)的特点,王珏,https://m.haodf.com/neirong/shipin/9388592488.html
2022-02-16,冠心病,一个比喻把冠心病讲得这么清楚,阮昕华,https://www.haodf.com/neirong/wenzhang/9388592344.html
2022-02-16,肺癌,刘懿博士说肺癌（三亖一五）预约加号看肺结节，不知道怎么样给...,刘懿,https://www.haodf.com/neirong/wenzhang/9388592288.html
2022-02-16,腰椎间盘突出,腰椎间盘突出，自我康复练习（三）,于彬,https://m.haodf.com/neirong/shipin/9388592242.html
2022-02-16,肺癌,普通老百姓怎么预防肺癌？,贾钰华,https://www.haodf.com/neirong/wenzhang/9388591789.html
2022-02-16,肺癌,刘懿博士说肺癌（三亖一三）消瘦十斤，NSE高两倍，会是肺癌么？...,刘懿,https://www.haodf.com/neirong/wenzhang/9388591632.html
2022-02-16,肝癌,肝癌晚期一定没救了吗？,王健莉,https://m.haodf.com/neirong/shipin/9388591200.html
2022-02-16,腰椎间盘突出,腰椎间盘突出症为什么会引起坐骨神经痛,毕红岩,https://www.haodf.com/neirong/wenzhang/9388591133.html
2022-02-16,肺癌,肺癌术后EGFR-TKIs治疗对术后残留GGO病灶的疗效,张临友,https://www.haodf.com/neirong/wenzhang/9388591104.html
2022-02-15,胃癌,肿瘤患者可以吃元宵吗？,张飞,https://m.haodf.com/neirong/yuyin/9388591087.html
2022-02-15,肺癌,老年肺癌可防可治亦能“带瘤生存”,周谦君,https://www.haodf.com/neirong/wenzhang/9388591065.html
2022-02-15,肺癌,“我从不吸烟，我会得肺癌吗？”,周谦君,https://www.haodf.com/neirong/wenzhang/9388591046.html
2022-02-15,乙肝,【科普】从乙肝三部曲认识合理优化治疗方案的重要性,陆朝阳,https://www.haodf.com/neirong/wenzhang/9388591020.html
2022-02-15,乙肝,得了乙肝，就一定会得肝癌？医生告诉你乙肝防治真相,刘维新,https://www.haodf.com/neirong/wenzhang/9388590894.html
2022-02-15,腰椎间盘突出,腰椎间盘突出微创和内固定融合手术的优缺点,郑帅,https://m.haodf.com/neirong/shipin/9388590731.html
2022-02-15,乳腺癌,乳腺癌手术以后可以做运动吗？,郭贵龙,https://m.haodf.com/neirong/shipin/9388590720.html
2022-02-15,子宫肌瘤,不要让子宫肌瘤找上你,高剑虹,https://m.haodf.com/neirong/shipin/9388590700.html
2022-02-15,胃癌,胃癌手术后回家吃东西出现不舒服的症状正常吗？,徐泉,https://www.haodf.com/neirong/wenzhang/9388590673.html
2022-02-15,肺癌,免疫新辅助治疗,周谦君,https://www.haodf.com/neirong/wenzhang/9388590599.html
2022-02-15,肺癌,肺癌免疫治疗的进展,周谦君,https://www.haodf.com/neirong/wenzhang/9388590596.html
2022-02-15,腰椎间盘突出,倒走治疗腰椎间盘突出科学吗？,廖博,https://m.haodf.com/neirong/shipin/9388590562.html
2022-02-15,腰椎间盘突出,坐位、立位和卧位这三个状态哪种腰的压力最大？,李维新,https://www.haodf.com/neirong/wenzhang/9388590483.html
2022-02-15,肺癌,肺结节这么小，我还这么年轻，怎么会生肺癌了呢？,张裔良,https://www.haodf.com/neirong/wenzhang/9388590406.html
2022-02-15,肺癌,肺癌肾上腺转移是怎么回事,逄旭光,https://www.haodf.com/neirong/wenzhang/9388590380.html
2022-02-15,冠心病,有没有冠心病，看耳垂就可以了？ ＃程医生说句心里话,程蕾蕾,https://m.haodf.com/neirong/shipin/9388589970.html
2022-02-15,乳腺癌,乳腺肿块知识讲堂,王永坤,https://www.haodf.com/neirong/wenzhang/9388589869.html
2022-02-14,胃癌,如何防止慢性萎缩性胃炎癌变？,贾钰华,https://www.haodf.com/neirong/wenzhang/9388579678.html
2022-02-14,胃炎,胃炎会发展成胃癌吗？,贾钰华,https://www.haodf.com/neirong/wenzhang/9388579654.html
2022-02-14,腰椎间盘突出,患者理解的微创vs医生讲解的微创,郑帅,https://m.haodf.com/neirong/shipin/9388579534.html
2022-02-14,肺癌,刘懿博士说肺癌（三亖〇亖）父子俩找我门诊开靶向药，没报销窗...,刘懿,https://www.haodf.com/neirong/wenzhang/9388579424.html
2022-02-14,乳腺癌,乳癌术后5年是复发危险阶段，其中1-3年是高发期,赵华栋,https://www.haodf.com/neirong/wenzhang/9388579358.html
2022-02-14,肺癌,肺癌常见的症状有哪些？,闾夏轶,https://m.haodf.com/neirong/shipin/9388579297.html
2022-02-14,肝癌,肝癌发现时为什么多是晚期呢？,张飞,https://m.haodf.com/neirong/yuyin/9388579059.html
2022-02-14,肝癌,肝癌的流行病学特征,张飞,https://m.haodf.com/neirong/yuyin/9388579057.html
2022-02-14,胆结石,是不是所有胆结石最终都要手术,陈波,https://m.haodf.com/neirong/shipin/9388579016.html
2022-02-14,肺癌,早期肺癌肺段切除术的适应症及效果如何？,王永忠,https://www.haodf.com/neirong/wenzhang/9388578868.html
2022-02-14,胃癌,胃癌治疗期间，定期复查查什么？,张涛,https://www.haodf.com/neirong/wenzhang/9388578854.html
2022-02-14,肺癌,刘懿博士说肺癌（三亖〇一）大伯80岁了，肺上长了东西是肺癌么...,刘懿,https://www.haodf.com/neirong/wenzhang/9388578840.html
2022-02-13,脑梗塞,脑梗患者多久复查一次血脂？血脂正常，还要继续服用他汀类降脂...,胡二尧,https://www.haodf.com/neirong/wenzhang/9388578152.html
2022-02-13,肺癌,刘懿博士说肺癌（三亖〇〇）肺癌脑转移做手术，能否延长生存期...,刘懿,https://www.haodf.com/neirong/wenzhang/9388578084.html
2022-02-13,腰椎间盘突出,腰椎间盘突出，自我康复练习（二）,于彬,https://m.haodf.com/neirong/shipin/9388577898.html
2022-02-13,腰椎间盘突出,腰椎间盘突出（症）精准治疗三个必备要求,童国海,https://www.haodf.com/neirong/wenzhang/9388577444.html
2022-02-13,高血压,高血压患者饮食应注意哪些问题？,张旭敏,https://www.haodf.com/neirong/wenzhang/9388577268.html
2022-02-13,腰椎间盘突出,小切口并非就是微创,李维新,https://m.haodf.com/neirong/shipin/9388577261.html
2022-02-13,冠心病,冠心病患者EF值低、心功能差，只有30%左右，还能做搭桥手术么？...,高慧强,https://www.haodf.com/neirong/wenzhang/9388577176.html
2022-02-12,腰椎间盘突出,腰椎间盘突出打了一针就不痛了（下）,郑帅,https://m.haodf.com/neirong/shipin/9388576848.html
2022-02-12,腰椎间盘突出,腰椎间盘突出打了一针就不痛了（上）,郑帅,https://m.haodf.com/neirong/shipin/9388576846.html
2022-02-12,冠心病,冠心病患者，5类食物要少吃,王燕,https://m.haodf.com/neirong/shipin/9388576682.html
2022-02-12,腰椎间盘突出,如何选择合适坐姿合适的座椅降低我们的腰椎压力呢？,李维新,https://m.haodf.com/neirong/shipin/9388576407.html
2022-02-12,肺癌,肺癌肿瘤标志物的可靠性如何？,王永忠,https://www.haodf.com/neirong/wenzhang/9388576300.html
2022-02-12,肺癌,肺癌中晚期能吃灵芝孢子粉吗？并非主流治疗，医生一般不推荐,胡洋,https://www.haodf.com/neirong/wenzhang/9388576281.html
2022-02-12,肺癌,早期肺癌完全切除了还会有复发可能吗？,王永忠,https://www.haodf.com/neirong/wenzhang/9388576279.html
2022-02-12,乳腺癌,乳腺癌术后能治愈吗？,蔡琳琳,https://m.haodf.com/neirong/shipin/9388576239.html
2022-02-12,乳腺癌,B超正常，无痛无痒无肿块，怎么就成了乳腺癌？,张永辉,https://www.haodf.com/neirong/wenzhang/9388576172.html
2022-02-12,肺癌,查体发现了怀疑肺癌的病变该怎么办？,王永忠,https://www.haodf.com/neirong/wenzhang/9388576151.html
2022-02-11,腰椎间盘突出,腰椎间盘突出不建议睡硬板床！,郑帅,https://m.haodf.com/neirong/shipin/9388575632.html
2022-02-11,胃炎,胃炎，溃疡吃啥药更好？傻傻分不清，教你如何选！,李鹏,https://m.haodf.com/neirong/shipin/9388575357.html
2022-02-11,乳腺癌,"得了乳腺癌后,如何正确面对",赵华栋,https://www.haodf.com/neirong/wenzhang/9388575104.html
2022-02-11,乳腺癌,乳腺癌的检查，B超、钼靶有哪些区别,赵华栋,https://www.haodf.com/neirong/wenzhang/9388575101.html
2022-02-10,腰椎间盘突出,腰椎间盘突出两种手术方式,郑帅,https://m.haodf.com/neirong/shipin/9388574745.html
2022-02-10,肺癌,刘懿博士说肺癌（三三八亖）肺癌患者告诉我，以后不要给她儿子...,刘懿,https://www.haodf.com/neirong/wenzhang/9388573906.html
2022-02-10,脑动脉狭窄,脑动脉栓塞和脑动脉狭窄无支架成形,贺迎坤,https://www.haodf.com/neirong/wenzhang/9388573900.html
2022-02-10,腰椎间盘突出,我们工作生活中不同姿势对腰椎的压力有多大？,王作伟,https://www.haodf.com/neirong/wenzhang/9388573733.html
2022-02-10,骨折,“光固化”髓内钉治疗四肢创伤骨折,孙胜,https://www.haodf.com/neirong/wenzhang/9388573652.html
