('2022-05-01', '甲亢', '甲亢病友如何选择甲亢治疗方法？', '任卫东', 'https://www.haodf.com/neirong/wenzhang/9388755718.html')
('2019-09-17', '甲亢', '甲亢是如何引起的？', '陈辉霖', 'https://m.haodf.com/neirong/shipin/8029572391.html')
('2019-09-17', '甲亢', '甲亢患者为什么术前服用碘液？', '支忠继', 'https://m.haodf.com/neirong/shipin/8029500755.html')
('2019-09-17', '甲亢', '甲亢复发如何治疗，怎样避免甲亢复发？', '樊琳琳', 'https://m.haodf.com/neirong/shipin/8029499813.html')
('2019-09-17', '甲亢', '甲亢病人的饮食需要注意什么？', '樊琳琳', 'https://m.haodf.com/neirong/shipin/8029418735.html')
('2019-09-17', '甲亢', '甲亢心率过快怎么办？', '樊琳琳', 'https://m.haodf.com/neirong/shipin/8029416202.html')
('2019-09-17', '甲亢', '长期吃甲亢药会得白血病吗？', '罗露露', 'https://m.haodf.com/neirong/shipin/8029358506.html')
('2019-09-16', '甲亢', '甲亢能做剧烈运动吗，有哪些适合的运动方式？', '唐宽晓', 'https://m.haodf.com/neirong/shipin/8029081829.html')
('2019-09-16', '甲亢', '什么是甲亢五项？甲亢主要看哪个指标？', '陈玲', 'https://m.haodf.com/neirong/shipin/8029080815.html')
('2019-09-16', '甲亢', '如何判断自己得了甲亢？', '潘焕峰', 'https://m.haodf.com/neirong/shipin/8028896134.html')
('2019-09-16', '甲亢', '甲亢病会引起血糖高吗？', '潘焕峰', 'https://m.haodf.com/neirong/shipin/8028890116.html')
('2019-09-16', '甲亢', '甲亢对孩子有影响吗，女性甲亢能生孩子吗？', '赵永才', 'https://m.haodf.com/neirong/shipin/8028659624.html')
('2019-09-16', '甲亢', '甲亢脖子肿大能治愈吗，该怎么治疗？', '赵永才', 'https://m.haodf.com/neirong/shipin/8028652343.html')
('2019-09-16', '甲亢', 'T3型甲亢是什么意思，该怎么治疗？', '潘焕峰', 'https://m.haodf.com/neirong/shipin/8028595210.html')
('2019-09-16', '甲亢', '如何判断是否得了甲亢？', '潘焕峰', 'https://m.haodf.com/neirong/shipin/8028593669.html')
('2019-09-16', '甲亢', '甲亢可以吃含碘食物吗，饮食上应该注意什么？', '潘焕峰', 'https://m.haodf.com/neirong/shipin/8028529049.html')
('2019-09-16', '甲亢', '甲亢心慌气短怎么办？', '潘焕峰', 'https://m.haodf.com/neirong/shipin/8028527709.html')
('2019-09-15', '甲亢', '甲亢能预防吗？', '梁宏', 'https://m.haodf.com/neirong/shipin/8028000505.html')
('2019-09-12', '甲亢', '甲亢对性生活有影响吗？', '迟鹏威', 'https://m.haodf.com/neirong/shipin/8025738068.html')
('2019-09-12', '甲亢', '甲亢会怕冷吗？', '迟鹏威', 'https://m.haodf.com/neirong/shipin/8025737124.html')
('2019-09-12', '甲亢', '甲亢是甲状腺激素多还是少？', '迟鹏威', 'https://m.haodf.com/neirong/shipin/8025736950.html')
('2019-09-12', '甲亢', '甲亢抗体高有哪些危害？', '迟鹏威', 'https://m.haodf.com/neirong/shipin/8025736627.html')
('2019-09-12', '甲亢', '女孩青春期甲亢影响发育吗，会对以后怀孕有影响吗？', '迟鹏威', 'https://m.haodf.com/neirong/shipin/8025736265.html')
('2019-09-12', '甲亢', '甲亢如何调整用药量？', '迟鹏威', 'https://m.haodf.com/neirong/shipin/8025736161.html')
('2019-09-12', '甲亢', '吃甲亢药会影响月经吗？', '迟鹏威', 'https://m.haodf.com/neirong/shipin/8025735092.html')
('2019-09-12', '甲亢', '甲亢会不会引起掉头发？', '唐宽晓', 'https://m.haodf.com/neirong/shipin/8025734609.html')
('2019-09-12', '甲亢', '甲亢用药注意什么？', '樊琳琳', 'https://m.haodf.com/neirong/shipin/8025734045.html')
('2019-09-11', '甲亢', '甲亢会出现精神症状或导致精神病吗？', '梁宏', 'https://m.haodf.com/neirong/shipin/8024603485.html')
('2019-09-10', '甲亢', '甲亢会导致突眼吗', '潘焕峰', 'https://m.haodf.com/neirong/shipin/8024006711.html')
('2019-09-10', '甲亢', '甲亢要吃药多久才好', '唐宽晓', 'https://m.haodf.com/neirong/shipin/8023463696.html')
('2019-09-09', '甲亢', '药物治疗甲亢过程中应注意什么', '季磊', 'https://www.haodf.com/neirong/wenzhang/8022355959.html')
('2019-09-07', '甲亢', '女性患了甲亢以后能怀孕吗？', '梁宏', 'https://m.haodf.com/neirong/shipin/8020822670.html')
('2019-09-07', '甲亢', '甲亢对人体生殖系统会有影响吗？', '梁宏', 'https://m.haodf.com/neirong/shipin/8020822637.html')
('2019-09-07', '甲亢', '如果怀疑甲亢，您知道甲甲亢有哪些临床表现呢？', '梁宏', 'https://m.haodf.com/neirong/shipin/8020822553.html')
('2019-09-07', '甲亢', '甲亢的治疗方法有哪些？都有什么优缺点？', '高云朝', 'https://m.haodf.com/neirong/yuyin/8020377215.html')
('2019-09-05', '甲亢', '为什么有甲亢的患者有时也需要服用左甲状腺素片呢？', '梁宏', 'https://m.haodf.com/neirong/shipin/8018655592.html')
('2019-09-05', '甲亢', '为什么得了甲亢吃得多反而越来越消瘦呢？', '梁宏', 'https://m.haodf.com/neirong/shipin/8018655157.html')
('2019-09-02', '甲亢', '孕妇甲亢对胎儿有影响吗，该怎么办？', '郭晓珍', 'https://m.haodf.com/neirong/yuyin/8016291868.html')
('2019-08-24', '甲亢', '甲亢要吃药多久才好', '刘永健', 'https://m.haodf.com/neirong/yuyin/8007785704.html')
('2019-08-24', '甲亢', '[原创]甲亢131碘治疗后出现甲减可怕么-医生视角！', '方凤宁', 'https://www.haodf.com/neirong/wenzhang/8007231344.html')
('2019-08-22', '甲亢', '甲亢做了手术还会复发吗？', '唐宽晓', 'https://m.haodf.com/neirong/shipin/8005683818.html')
('2019-08-22', '甲亢', '甲亢与低血糖怎样鉴别？', '赵进喜', 'https://m.haodf.com/neirong/shipin/8005446770.html')
('2019-08-22', '甲亢', '甲亢与甲减的临床表现有哪些不同？', '赵进喜', 'https://m.haodf.com/neirong/shipin/8005438349.html')
('2019-08-22', '甲亢', '甲亢', '张麦叶', 'https://www.haodf.com/neirong/wenzhang/8005262223.html')
('2019-08-21', '甲亢', '甲亢和结节是一回事？', '朱易凡', 'https://www.haodf.com/neirong/wenzhang/8004665281.html')
('2019-08-14', '甲亢', '甲亢对胎儿对孕妇有什么影响', '夏敏', 'https://m.haodf.com/neirong/yuyin/7997862886.html')
('2019-08-14', '甲亢', '甲亢有哪些并发症？', '高云朝', 'https://m.haodf.com/neirong/yuyin/7997845560.html')
('2019-08-14', '甲亢', '怀孕后查出甲亢怎么办？该如何用药呢？', '何淼', 'https://m.haodf.com/neirong/yuyin/7997841155.html')
('2019-08-14', '甲亢', '甲亢患者使用碘131治疗好不好', '王霖霞', 'https://m.haodf.com/neirong/yuyin/7997338956.html')
('2019-08-14', '甲亢', '得了甲亢应该怎么治疗', '尹冬', 'https://m.haodf.com/neirong/yuyin/7997294405.html')
('2019-08-14', '甲亢', '甲亢患者可以怀孕吗', '尹冬', 'https://m.haodf.com/neirong/yuyin/7997288315.html')
('2019-08-13', '甲亢', '甲亢患者怀孕应该注意什么', '李晶', 'https://m.haodf.com/neirong/yuyin/7996671980.html')
('2019-08-12', '医疗健康', '为什么甲亢总是复发', '高云朝', 'https://m.haodf.com/neirong/yuyin/7995828438.html')
('2019-08-07', '甲亢', '甲亢复发的精准治疗', '励丽', 'https://www.haodf.com/neirong/wenzhang/7990837267.html')
('2019-08-06', '甲亢', '甲亢会不会引起掉头发？', '郭晓珍', 'https://m.haodf.com/neirong/yuyin/7989757270.html')
('2019-08-06', '甲亢', '检查甲亢t3t4需要空腹吗', '尹冬', 'https://m.haodf.com/neirong/yuyin/7989738704.html')
('2019-08-05', '小儿甲状腺功能亢进', '小儿甲亢治疗中应注意什么？', '黄锋', 'https://m.haodf.com/neirong/yuyin/7988756792.html')
('2019-08-03', '甲亢', '甲亢和糖尿病，你中有我，我中有你，怎么办？', '周颋', 'https://www.haodf.com/neirong/wenzhang/7987200997.html')
('2019-08-03', '甲亢', '甲亢治愈后会复发吗?（深度分析）', '刘学', 'https://www.haodf.com/neirong/wenzhang/7987130836.html')
('2019-08-02', '甲亢', '妊娠期甲减和甲亢', '张梅', 'https://www.haodf.com/neirong/wenzhang/7986217294.html')
('2019-07-31', '甲亢', '甲亢会引起荨麻疹吗，甲亢后得了荨麻疹怎么办？', '郭晓珍', 'https://m.haodf.com/neirong/yuyin/7983948885.html')
('2019-07-31', '甲亢', '为什么甲亢慎用褪黑素？', '李晶', 'https://m.haodf.com/neirong/yuyin/7983755335.html')
('2019-07-31', '甲亢', '怀疑甲亢要做什么检查能确诊？', '刘扬', 'https://m.haodf.com/neirong/yuyin/7983720497.html')
('2019-07-31', '甲亢', '老年甲亢的症状有哪些，该如何治疗？', '赵永才', 'https://m.haodf.com/neirong/yuyin/7983719820.html')
('2019-07-31', '甲亢', '甲亢会导致双腿无力吗？', '李晶', 'https://m.haodf.com/neirong/yuyin/7983678610.html')
('2019-07-31', '甲亢', '甲亢碘131治疗是什么意思，治疗效果如何？', '李晶', 'https://m.haodf.com/neirong/yuyin/7983616223.html')
('2019-07-31', '甲亢', '甲亢的早期症状是什么？', '李晶', 'https://m.haodf.com/neirong/yuyin/7983614242.html')
('2019-07-31', '甲亢', '轻微甲亢怎么办，需要吃药吗？', '艾剑锋', 'https://m.haodf.com/neirong/yuyin/7983607716.html')
('2019-07-31', '甲亢', '小孩为什么也会得甲亢，该如何治疗？', '尹冬', 'https://m.haodf.com/neirong/yuyin/7983492102.html')
('2019-07-31', '甲亢', '甲亢周期性瘫痪有哪些症状，如何治疗？', '郭琳', 'https://m.haodf.com/neirong/yuyin/7983368266.html')
('2019-07-31', '甲亢', '甲亢停经能恢复正常吗？', '郭琳', 'https://m.haodf.com/neirong/yuyin/7983363450.html')
('2019-07-31', '甲亢', '甲亢心率过快怎么办？', '尹冬', 'https://m.haodf.com/neirong/yuyin/7983360661.html')
('2019-07-30', '甲亢', '甲亢复发如何治疗，怎样避免甲亢复发？', '唐宽晓', 'https://m.haodf.com/neirong/yuyin/7983070193.html')
('2019-07-30', '甲亢', '甲亢trab未转阴能否怀孕？', '尹冬', 'https://m.haodf.com/neirong/yuyin/7983070118.html')
('2019-07-30', '甲亢', '甲亢会脖子大吗，该怎么办呢？', '尹冬', 'https://m.haodf.com/neirong/yuyin/7983061562.html')
('2019-07-30', '甲亢', '甲亢七项检查是什么，为什么要做这些检查？', '蒋升', 'https://m.haodf.com/neirong/yuyin/7983059094.html')
('2019-07-30', '甲亢', '甲亢t3t4高多少算严重？', '蒋升', 'https://m.haodf.com/neirong/yuyin/7983057828.html')
('2019-07-30', '甲亢', '甲亢病人的饮食需要注意什么？', '尹冬', 'https://m.haodf.com/neirong/yuyin/7983047887.html')
('2019-07-30', '甲亢', '甲亢能做剧烈运动吗，有哪些适合的运动方式？', '尹冬', 'https://m.haodf.com/neirong/yuyin/7983043419.html')
('2019-07-30', '甲亢', '甲亢会引起白斑吗，应如何治疗？', '尹冬', 'https://m.haodf.com/neirong/yuyin/7983014077.html')
('2019-07-30', '甲亢', 'T3型甲亢是什么意思，该怎么治疗？', '艾剑锋', 'https://m.haodf.com/neirong/yuyin/7982969221.html')
('2019-07-30', '甲亢', '甲亢脖子肿大能治愈吗，该怎么治疗？', '李晶', 'https://m.haodf.com/neirong/yuyin/7982926906.html')
('2019-07-30', '甲亢', '甲亢如何调整用药量？', '李晶', 'https://m.haodf.com/neirong/yuyin/7982921537.html')
('2019-07-30', '小儿甲状腺功能亢进', '儿童甲亢能治愈吗，如何治疗？', '李晶', 'https://m.haodf.com/neirong/yuyin/7982892241.html')
('2019-07-30', '甲亢', '甲亢抗体高有哪些危害？', '孔磊', 'https://m.haodf.com/neirong/yuyin/7982891608.html')
('2019-07-30', '甲亢', '甲亢用药注意什么，是否需要终身服药？', '孔磊', 'https://m.haodf.com/neirong/yuyin/7982890128.html')
('2019-07-30', '甲亢突眼', '甲亢眼凸几年能恢复正常吗？', '李晶', 'https://m.haodf.com/neirong/yuyin/7982865675.html')
('2019-07-30', '甲亢', '怎样预防甲亢？', '尹冬', 'https://m.haodf.com/neirong/yuyin/7982843188.html')
('2019-07-30', '甲亢', '检查甲亢需要做哪些检查，为什么要做这些检查？', '谢芳', 'https://m.haodf.com/neirong/yuyin/7982839137.html')
('2019-07-30', '甲亢', '甲亢合并甲状腺结节应如何治疗？', '艾剑锋', 'https://m.haodf.com/neirong/yuyin/7982825842.html')
('2019-07-30', '甲亢', '甲亢tsh很难上升，该怎么办？', '李晶', 'https://m.haodf.com/neirong/yuyin/7982716989.html')
('2019-07-30', '甲亢', '甲亢表现有哪些？', '赵天喜', 'https://m.haodf.com/neirong/yuyin/7982714479.html')
('2019-07-30', '甲亢', '甲亢低钾性周期性麻痹有什么表现，如何治疗？', '赵天喜', 'https://m.haodf.com/neirong/yuyin/7982701806.html')
('2019-07-30', '甲亢', '甲减会转化为甲亢吗，会出现哪些症状？', '李晶', 'https://m.haodf.com/neirong/yuyin/7982672784.html')
('2019-07-30', '甲亢', '什么是甲亢五项？甲亢主要看哪个指标？', '艾剑锋', 'https://m.haodf.com/neirong/yuyin/7982422558.html')
('2019-07-19', '甲亢', '备孕期间的难治性甲亢是手术更好还是碘131治疗更好', '吴龙', 'https://m.haodf.com/neirong/shipin/7971623081.html')
('2019-07-14', '甲亢', '甲亢药物治疗的不良反应', '付德华', 'https://www.haodf.com/neirong/wenzhang/7966926040.html')
('2019-07-10', '甲亢', '甲亢碘131治疗后需要隔离吗，隔离多久后可以与家人接触？', '刘扬', 'https://m.haodf.com/neirong/yuyin/7962958762.html')
('2019-07-07', '甲亢', '甲亢做了手术还会复发吗？', '艾剑锋', 'https://m.haodf.com/neirong/yuyin/7959886118.html')
('2019-07-04', '甲亢', '亚临床甲亢', '黄郁林', 'https://www.haodf.com/neirong/wenzhang/7957463971.html')
('2019-06-25', '甲亢', '甲亢做了手术还会复发吗？', '高云朝', 'https://m.haodf.com/neirong/yuyin/7948734704.html')
('2019-06-16', '甲亢', '你知道自己的甲亢病是怎么得的吗？很多人都不知道！', '王松', 'https://www.haodf.com/neirong/wenzhang/7940180298.html')
('2019-06-15', '甲亢', '甲亢患者就诊与治疗的注意事项', '蔡日', 'https://www.haodf.com/neirong/wenzhang/7938922236.html')
('2019-06-14', '甲亢', '甲亢遗传吗？', '潘焕峰', 'https://www.haodf.com/neirong/wenzhang/7938668823.html')
('2019-05-27', '甲亢', '放射性碘治疗甲亢[转]', '陈万志', 'https://www.haodf.com/neirong/wenzhang/7919379684.html')
('2019-05-18', '甲亢', '甲亢3种治疗方法，来了解一下？', '宋乐', 'https://m.haodf.com/neirong/shipin/7909049974.html')
('2019-05-16', '甲亢', '甲亢会引起血压低吗？', '王世民', 'https://m.haodf.com/neirong/shipin/7907175766.html')
('2019-05-15', '甲亢', '放射性碘131治疗甲亢后会发生甲减吗？', '迟鹏威', 'https://m.haodf.com/neirong/yuyin/7905355007.html')
('2019-05-13', '甲亢', '备孕期间吃药控制甲亢要注意什么', '吴龙', 'https://m.haodf.com/neirong/shipin/7903725532.html')
('2019-05-13', '甲亢', '碘131治疗甲亢的原理是什么', '吴龙', 'https://m.haodf.com/neirong/shipin/7903721643.html')
('2019-05-13', '甲亢', '甲亢患者哺乳期用药注意事项', '吴龙', 'https://m.haodf.com/neirong/shipin/7903705774.html')
('2019-05-13', '甲亢', '131-碘甲亢治疗注意事项', '齐永帅', 'https://www.haodf.com/neirong/wenzhang/7903096700.html')
('2019-05-10', '甲亢', '详解妊娠期甲亢---为什么MMI（甲硫咪唑）要放在孕中晚期用', '吴龙', 'https://m.haodf.com/neirong/shipin/7900379778.html')
('2019-05-08', '甲亢', '甲亢与甲状腺肿大的区别', '王礼清', 'https://m.haodf.com/neirong/shipin/7897840255.html')
('2019-04-25', '甲亢', '甲亢碘131治疗什么原理？适合我吗？', '宋乐', 'https://m.haodf.com/neirong/shipin/7842263071.html')
('2019-04-25', '甲亢', '甲亢碘131治疗流程', '宋乐', 'https://m.haodf.com/neirong/shipin/7841805502.html')
('2019-04-20', '甲亢', '备孕与甲状腺功能异常，甲亢的表现', '吴龙', 'https://m.haodf.com/neirong/shipin/7820172346.html')
('2019-04-19', '甲亢', '甲亢饮食注意事项', '尹冬', 'https://m.haodf.com/neirong/shipin/7815519272.html')
('2019-04-18', '甲亢', '甲亢碘131治疗的特别注意事项', '江涛', 'https://m.haodf.com/neirong/shipin/7807610351.html')
('2019-04-17', '甲亢', '甲亢有哪些信号？', '胡杰群', 'https://www.haodf.com/neirong/wenzhang/7806960210.html')
('2019-04-17', '甲亢', '甲亢131碘治疗期间注意事项', '江涛', 'https://m.haodf.com/neirong/shipin/7806531051.html')
('2019-04-17', '甲亢', '甲亢的治疗方案有哪些？', '迟鹏威', 'https://m.haodf.com/neirong/shipin/7805984238.html')
('2019-04-16', '甲亢', '甲亢的传染和遗传', '舒振', 'https://m.haodf.com/neirong/shipin/7801537552.html')
('2019-04-14', '甲亢', '甲亢的主要临床表现', '舒振', 'https://m.haodf.com/neirong/shipin/7793480474.html')
('2019-04-05', '甲亢', '甲亢的三种治疗方法（药物，碘131，手术）', '许文伟', 'https://www.haodf.com/neirong/wenzhang/7753553892.html')
('2019-03-28', '甲亢', '甲亢131-碘治疗，核医学科医生都为您做了啥？', '刘学', 'https://www.haodf.com/neirong/wenzhang/7705138701.html')
('2019-03-19', '甲亢', '甲亢的治疗方法有哪些', '孔磊', 'https://m.haodf.com/neirong/yuyin/7662713363.html')
('2019-03-04', '甲亢', '甲亢碘131治疗注意事项', '许杰华', 'https://m.haodf.com/neirong/yuyin/7595717139.html')
('2019-02-20', '甲亢', '外科手术治疗13岁小女孩甲亢病例分享', '鲁瑶', 'https://www.haodf.com/neirong/wenzhang/7546049872.html')
('2019-02-19', '甲亢', '甲亢的原因', '高云朝', 'https://m.haodf.com/neirong/yuyin/7541989294.html')
('2019-02-16', '甲亢', '甲亢会遗传吗', '潘焕峰', 'https://m.haodf.com/neirong/yuyin/7527510301.html')
('2019-02-13', '甲亢', '甲亢饮食注意事项', '尹冬', 'https://www.haodf.com/neirong/wenzhang/7513768132.html')
('2019-02-12', '甲亢', '甲亢患者饮食原则', '胡杰群', 'https://www.haodf.com/neirong/wenzhang/7510127160.html')
('2019-02-11', '甲亢', '甲亢的饮食禁忌大全', '尹冬', 'https://m.haodf.com/neirong/yuyin/7505970731.html')
('2019-01-27', '甲亢', '甲亢不能吃什么', '高云朝', 'https://m.haodf.com/neirong/yuyin/7445735766.html')
('2019-01-22', '甲亢', '甲亢的治疗方法有哪些？', '蒋丽敏', 'https://m.haodf.com/neirong/yuyin/7424424155.html')
('2019-01-20', '甲亢', '甲亢能怀孕吗', '高云朝', 'https://m.haodf.com/neirong/yuyin/7415634113.html')
('2019-01-20', '甲亢', '甲亢的治疗方法', '高云朝', 'https://m.haodf.com/neirong/yuyin/7415611323.html')
('2018-11-26', '甲亢', '敲黑板：甲亢放射性碘131同位素治疗前后的重要注意事项！', '黄珊珊', 'https://www.haodf.com/neirong/wenzhang/7174761736.html')
('2018-11-08', '甲亢', '甲亢有哪些表现？', '晏霞', 'https://m.haodf.com/neirong/yuyin/7096984665.html')
('2018-11-08', '甲亢', '甲亢有哪些表现？', '张玉玲', 'https://m.haodf.com/neirong/yuyin/7096934041.html')
('2018-11-07', '甲亢', '甲亢患者不能吃什么？', '阎玉矿', 'https://m.haodf.com/neirong/yuyin/7092272087.html')
('2018-11-07', '甲亢', '甲亢患者不能吃什么？', '李晶', 'https://m.haodf.com/neirong/yuyin/7092270481.html')
('2018-11-07', '甲亢', '甲亢能彻底治疗好吗？', '牛玲', 'https://m.haodf.com/neirong/yuyin/7092099972.html')
('2018-11-07', '甲亢', '甲亢能彻底治疗好吗？', '邹雪琴', 'https://m.haodf.com/neirong/yuyin/7089738634.html')
('2018-10-22', '甲亢', '甲亢为什么容易会复发', '许文伟', 'https://www.haodf.com/neirong/wenzhang/7025954737.html')
('2018-10-03', '甲亢', 'HCG相关性甲亢简介', '许飞鹏', 'https://www.haodf.com/neirong/wenzhang/6938110416.html')
('2018-09-12', '甲亢', '甲巯咪唑和丙硫氧嘧啶，甲亢病人究竟该选择哪个？', '单成祥', 'https://www.haodf.com/neirong/wenzhang/6821603648.html')
('2018-08-21', '甲亢', '甲亢碘131治疗注意事项', '江涛', 'https://www.haodf.com/neirong/wenzhang/6649534636.html')
('2018-08-08', '甲亢', '得了甲亢怎么办？保守治疗or碘131治疗or手术', '周静', 'https://www.haodf.com/neirong/wenzhang/6574893893.html')
('2018-06-27', '甲亢', '甲亢饮食及日常保健', '曲伸', 'https://www.haodf.com/neirong/wenzhang/6351620800.html')
('2018-06-05', '甲亢', '得了甲亢在日常饮食中的注意事项', '肖辉盛', 'https://www.haodf.com/neirong/wenzhang/6268521091.html')
('2018-04-01', '甲亢', '得了甲亢什么时候才适合怀孕', '陈思永', 'https://www.haodf.com/neirong/wenzhang/5998588836.html')
('2018-03-22', '甲亢', '碘131治疗甲亢方法介绍', '孙晖', 'https://www.haodf.com/neirong/wenzhang/5959945225.html')
('2018-03-14', '甲亢', '【甲亢】饮食篇之甲亢2020版', '吴芸芳', 'https://www.haodf.com/neirong/wenzhang/5929801378.html')
('2018-03-09', '甲亢', '甲亢患者治疗中需要注意的问题', '王玉霞', 'https://www.haodf.com/neirong/wenzhang/5906052825.html')
('2018-02-13', '甲亢', '微创治疗高功能腺瘤引起的甲亢', '陈重', 'https://www.haodf.com/neirong/wenzhang/5817312202.html')
('2017-12-16', '甲亢', '甲亢生活指导小贴士', '张好好', 'https://www.haodf.com/neirong/wenzhang/5644409458.html')
('2017-12-05', '甲亢', '甲亢病友需知', '陈兵', 'https://www.haodf.com/neirong/wenzhang/5625373053.html')
('2017-11-06', '甲亢', '碘131治疗真的也能治好甲亢突眼吗？', '魏锐利', 'https://www.haodf.com/neirong/wenzhang/5573085353.html')
('2017-10-22', '心脏病', '甲亢离心脏病多近？多远？', '刘梅颜', 'https://www.haodf.com/neirong/wenzhang/5545934028.html')
('2017-10-19', '甲亢', '一图读懂甲亢的所有治疗方案', '程金伟', 'https://www.haodf.com/neirong/wenzhang/5540117381.html')
('2017-10-07', '甲亢', '得了“甲亢”怎么办？', '尚敬', 'https://www.haodf.com/neirong/wenzhang/5519043744.html')
('2017-10-06', '甲亢', '您应该知道的甲亢低碘饮食知识', '尚敬', 'https://www.haodf.com/neirong/wenzhang/5518412241.html')
('2017-09-19', '甲亢', '甲亢了，究竟能不能吃海带？', '孟长海', 'https://www.haodf.com/neirong/wenzhang/5489642168.html')
('2017-09-14', '甲亢', '治疗甲亢最有效的方法有哪些？', '廖宁', 'https://www.haodf.com/neirong/wenzhang/5481517021.html')
('2017-08-30', '甲亢', '甲亢会传染吗？甲亢的主要表现', '李敏', 'https://www.haodf.com/neirong/wenzhang/5452206474.html')
('2017-07-23', '甲亢', '治疗甲亢不建议看中医（山东青岛）', '郝海涛', 'https://www.haodf.com/neirong/wenzhang/5372426850.html')
('2017-07-19', '甲亢', '治愈甲亢其实很简单，碘131能一次性治愈甲亢（山东青岛）', '郝海涛', 'https://www.haodf.com/neirong/wenzhang/5366019548.html')
('2017-07-10', '甲亢', '甲亢停药指征————服了那么久，你倦了没有（原创）', '', 'https://www.haodf.com/neirong/wenzhang/5348240234.html')
('2017-07-05', '甲亢', '怀孕期间患甲亢需要吃药吗？', '廖宁', 'https://www.haodf.com/neirong/wenzhang/5335839998.html')
('2017-07-01', '甲亢', '甲亢', '邓海鸥', 'https://www.haodf.com/neirong/wenzhang/5329662812.html')
('2017-05-30', '甲亢', '甲亢的治疗选择有哪些？哪个才是最优方案？', '吴雪梅', 'https://www.haodf.com/neirong/wenzhang/5264465240.html')
('2017-05-08', '甲亢', '甲亢能治愈吗？(青岛)', '郝海涛', 'https://www.haodf.com/neirong/wenzhang/5221211322.html')
('2017-04-27', '甲亢', '说说甲亢病人怀孕那些事', '刘振杰', 'https://www.haodf.com/neirong/wenzhang/5198027412.html')
('2017-04-27', '甲亢', '甲亢病人初次诊治，医生交待的几句话', '刘振杰', 'https://www.haodf.com/neirong/wenzhang/5196779645.html')
('2017-04-09', '甲亢', 'T3、T4升高不一定都是甲亢', '张清贵', 'https://www.haodf.com/neirong/wenzhang/5158565197.html')
('2017-03-19', '甲亢', '甲亢 碘131治疗前后的注意事项', '蒋升', 'https://www.haodf.com/neirong/wenzhang/5109941639.html')
('2017-02-05', '甲亢', '放射性131碘治疗甲亢安全吗？', '赵家胜', 'https://www.haodf.com/neirong/wenzhang/4994671179.html')
('2017-01-05', '甲亢', '甲亢变甲减 如何用药', '蒙碧辉', 'https://www.haodf.com/neirong/wenzhang/4949410895.html')
('2016-12-31', '甲亢', '甲亢患者用药注意事项', '吴文俊', 'https://www.haodf.com/neirong/wenzhang/4940804940.html')
('2016-11-28', '甲亢', '甲亢与饮食', '张金赫', 'https://www.haodf.com/neirong/wenzhang/4871273996.html')
('2016-11-07', '甲亢', '甲亢治疗期间注意事项', '陈重', 'https://www.haodf.com/neirong/wenzhang/4828262237.html')
('2016-10-19', '甲亢', '眼睛甲亢好严重', '蒙碧辉', 'https://www.haodf.com/neirong/wenzhang/4787930963.html')
('2016-09-29', '甲亢', '甲亢患者可以吃海鲜，吃加碘盐吗？', '蒋升', 'https://www.haodf.com/neirong/wenzhang/4751945183.html')
('2016-09-27', '甲减', '闲聊“甲亢131I治疗及其继发的甲减”', '陈璟', 'https://www.haodf.com/neirong/wenzhang/4749941363.html')
('2016-08-20', '甲亢', '甲亢能不能治好', '陈思永', 'https://www.haodf.com/neirong/wenzhang/4655285301.html')
('2016-08-20', '甲亢', '得了甲亢该注意什么', '陈思永', 'https://www.haodf.com/neirong/wenzhang/4655159577.html')
('2016-08-11', '桥本甲状腺炎', '桥本甲状腺炎等于甲亢么？', '于萍', 'https://www.haodf.com/neirong/wenzhang/4636808410.html')
('2016-08-02', '甲亢', '甲亢病人能吃海鲜吗？', '倪连松', 'https://www.haodf.com/neirong/wenzhang/4620454224.html')
('2016-07-22', '甲亢', '甲亢有哪几种治疗方法？每个方法有什么优缺点？', '朱旭生', 'https://www.haodf.com/neirong/wenzhang/4598006223.html')
('2016-07-17', '甲亢', '甲亢能治好吗？为何有的人久治不愈？（山东青岛）', '郝海涛', 'https://www.haodf.com/neirong/wenzhang/4587768349.html')
('2016-07-14', '甲亢', '怀孕期间的甲亢', '张耀', 'https://www.haodf.com/neirong/wenzhang/4582457996.html')
('2016-07-12', '甲亢', '甲亢患者日常注意事项', '满晓梅', 'https://www.haodf.com/neirong/wenzhang/4578582957.html')
('2016-06-27', '甲亢', '甲亢（三） 治疗方案选择', '侯宁宁', 'https://www.haodf.com/neirong/wenzhang/4547071234.html')
('2016-06-26', '甲亢', '甲亢碘131治疗有害吗？（山东青岛）', '郝海涛', 'https://www.haodf.com/neirong/wenzhang/4543644865.html')
('2016-06-07', '甲亢', '甲亢，什么方法治疗比较好？', '操儒森', 'https://www.haodf.com/neirong/wenzhang/4500818687.html')
('2016-05-30', '甲亢', '男性甲亢患者能生育吗？', '蒙碧辉', 'https://www.haodf.com/neirong/wenzhang/4483283742.html')
('2016-05-30', '甲亢', '哪些人甲亢停药后不宜复发？丁医生带你看“七点”', '丁宇', 'https://www.haodf.com/neirong/wenzhang/4483005557.html')
('2016-05-29', '甲亢', '甲亢治疗该如何选择？', '严同', 'https://www.haodf.com/neirong/wenzhang/4480704244.html')
('2016-05-03', '甲亢', '甲亢该怎么治疗？', '曹卫', 'https://www.haodf.com/neirong/wenzhang/4418229916.html')
('2016-04-22', '甲亢', '同位素治疗（甲亢）后注意事项', '张金赫', 'https://www.haodf.com/neirong/wenzhang/4397131908.html')
